a 阿锕嗄啊吖錒腌呵
ai 醷蔼僾嵦藹硋癌碍鎄堨隘阨昹譺瑷塧璦砹誒謁皑嘊捱挨暧愛锿哎欸焥絠爱阸薆瞹濭躷靄厓哀鴱艾懓毐隑霭欬嗌呝閡賹埃嬡忦靉嫒噯唉叆馤礙鯦皧溾餲皚敱啀懝鑀溰娾敳矮磑剴娭騃凒譪鱫伌嗳曖壒烠
an 匼貋頞氨銨安俺胺錌鞍荌儑媕岸桉遃堓谙裺葊隌誝庵垵犴鴳韽頇厂广侒鵪垾黯愔厰諳屽鉗雸婩菴蓭陰啽痷隂洝唵鮟碪豻玵闇盫揞罯盦峖暗铵案馣萻晻按腤鞌鹌鶕埯厈咹
ang 肮醃岇骯醠盎卬昂詇昻枊
ao 蔜柪郩謷熝奡遨璈隞聱獒墽囂軪翱蝹鷔擙鴁鏖鰲岰磝奥垇嶅傲翶坳厫墺鳌鼇嗸螯嗷拗凹襖袄芺摮敖扷獓岙奧懊骜滶翺謸抝驁澳澚鏕媼廒眑泑熬爊鴢嫯慠嚻媪嶴梎镺鏊
ba 坝笆哱岜跁壩羓茷抪抜妭犮朳紦芭蚆皅爸魃欛叐鼥柭鲅罢妑哵八疤鮁弝吧颰巴钯罷叭炦魞仈鮊胈峇扒茇詙鲃粑垻菝鈀玐矲釟癹坺把鲌捌灞霸釛豝靶墢覇夿拔跋軷耙
bai 伯佰掰韛捭薭粨贁白百稗罷挀拝擺拜竡呗败庍擘敗粺兡襬摆鞁唄栢柏絔猈
ban 拌斒板靽颁絆瓣坢鉡辧攽搫賁辬阪螌鳻半蝂绊辦闆覂般斑埿朌昄跘瘢肦頒钣搬班伴癍粄怑瓪扮魬办岅舨版鈑湴扳褩秚姅坂籓螁
bang 帮謗傍徬捠榜搒縍蚌棓幚蚄谤垹镑邦塝玤幇邫蜯幫綁蛖牓埲鞤鎊膀嗙梆磅浜嫎艕旁绑騯棒硥髈稖蒡峀
bao 曝保忁賲剥齙蕔窇葆媬寶宲襃寚剝抱鮑孢儤堡裦铇靌嫑鳵龅包饱鑤刨瀑煲報勽鉋苞闁雹袌爆駂笣謈豹飽靤勹薄寳佨緥胞藵飹鸨鴇枹虣骲趵嚗嘐宝菢髱鞄珤蚫报炮鲍褓褒堢曓暴怉
bei 哱偹盃愂萯卑梖鐾鹎贝棓苝鐴錍憊鋇被俻庳碚碑輩辈背藣禙棑陂焙誖北蓓鞴臂琲喺昁杯柸偝貝唄骳箄鄁惫犕諀椑桮蛽鉳垻孛悲糒鵯杮壀揹鞁珼褙韝牬钡僃巿備狽狈倍呗悖軰襬邶备
ben 捹撪錛蟦奙苯逩夲渀倴锛燌犇獖笨賁炃奔坌本畚楍僨翉泍贲輽鐼喯桳夯
